target,retrieved
[Plbb]3[Prbb][Pexp][Plbb][var1][Prbb][Pmin][Plsb][Pbeg]sin[Plbb]6[Prbb][Prsb],3的[var1]次方減sin[Pspa]6
[Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Pbeg]sin[Plbb]8[Prbb][Prsb],sin[Pspa]8以8為底的對數值
1[Pmin][var1],1減[var1]
3[Pmin][var1],3減[var1]
[Pbeg]log[Psub][Plbb]4[Pmin]2[Prbb][Plsb][var1][Pmin][var2][Prsb],[var1]減[var2]以4減2為底的對數
[Plbb]3[Pplu][Plsb]6[Pmin][var1][Prsb][Prbb][Pexp][Plbb][var2][Prbb],3加括號6減[var1]括號的[var2]次方
[Pbeg]sin[Plbb][Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]8[Pplu][var1][Prbb][Pbeg]pi[Prbb][Prbb],sin[Pspa]6的pi以8加[var1]為底的對數值次方
[Pbeg]sqrt[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb],根號cos[Pspa][var1]
[Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]5[Pmin][Pbeg]frac[Plbb][var3][Prbb][Plbb]7[Pmin][var1][Prbb][Prbb][Plbb][Pbeg]sqrt[Plbb][var2][Prbb][Prbb][Prbb][Plsb][Pbeg]cos[Plbb][Plbb][var4][Prbb][Pexp][Plbb][var5][Prbb][Prbb][Prsb],cos[Pspa][var4]的[var5]次方以根號[var2]分之5減7減[var1]分之[var3]為底的對數
[Plsb][var3][Pplu][var1][Prsb][Pplu][Plsb]4[Pplu][Plbb]8[Prbb][Pexp][Plbb][var2][Prbb][Prsb],括號[var3]加[var1]括號加括號4加8的[var2]次方括號
5[Pplu][var1],5加[var1]
[Plbb][Pbeg]sin[Plbb]2[Prbb][Prbb][Pexp][Plbb][var1][Prbb],sin[Pspa]2的[var1]次方
[Plsb][Plsb]8[Pplu][var4][Prsb][Pmin][Plsb][var3][Pplu][var2][Prsb][Prsb][var1],括號8加[var4]減括號[var3]加[var2]整個乘以[var1]
[Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Pbeg]sin[Plbb]7[Prbb][Prsb],sin[Pspa]7以8為底的對數
[Plbb]3[Prbb][Pexp][Plbb][var2][Pplu][var1][Prbb],3的[var2]加[var1]次方
[Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Plsb][var1][Pmin][var4][Prsb][Pmin][var3][Prsb][Prbb],log[Pspa]8[Pspa]括號[var1]減[var4]減[var3]分之[var2]
[Plsb][Plsb][Pbeg]sqrt[Plbb]8[Prbb][Prsb]6[Prsb][var1],根號8乘以6乘以[var1]
[Pbeg]sqrt[Plbb]9[Prbb],根號9
[Pbeg]sqrt[Plbb][var1][Prbb],根號[var1]
[Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb],5的根號根號[var1]次方
[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var3][Prbb][Prbb][Pexp][Plbb]1[var2][Prbb],[var3]分之[var1]的1[var2]次方
1[Pplu]5,1加5
[Pbeg]tan[Plbb]5[Prbb],tan[Pspa]5
[Pbeg]sqrt[Plbb]0[Prbb],根號0
[Plbb][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]sin[Plbb]9[var3][Prbb][Prbb][Prbb][Pexp][Plbb][var1][Prbb],sin[Pspa]9[var3][Pspa]分之[var2][Pspa]的[var1]次方
[Plsb][Plsb]2[var2][Prsb][Pplu][Pbeg]frac[Plbb]8[Prbb][Plbb]2[Prbb][Prsb][Pmin][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb],2[var2]加2分之8減9的[var1]次方
[var1][Pmin][Plsb][Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]9[Prbb]1[Prbb][Prsb],[var1]減cos[Pspa]1以9為底的對數
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1],log[Pspa]cos[Pspa]sin[Pspa][var2][Pspa]的[var1]
[Pbeg]frac[Plbb][var1][Prbb][Plbb][Pbeg]frac[Plbb]3[Prbb][Plbb][Plsb][Pbeg]sqrt[Plbb]11[Prbb][Prsb][var2][Prbb][Prbb],根號11[var2]分之3分之[var1]
[Pbeg]frac[Plbb]5[Prbb][Plbb]9[Prbb],9分之5
[Pbeg]frac[Plbb][var1][Prbb][Plbb][Plbb]9[Prbb][Pexp][Plbb]1[Prbb][Prbb],9的1次方分之[var1]
[Pbeg]frac[Plbb]2[Prbb][Plbb]0[Pmin][var1][Prbb],0減[var1][Pspa]分之2
[Pbeg]cos[Plbb][Pbeg]frac[Plbb][Plbb]2[Prbb][Pexp][Plbb][Pbeg]frac[Plbb]2[Plsb]4[Pplu][var2][Prsb][Prbb][Plbb][var1][Prbb][Prbb][Prbb][Plbb][Pbeg]frac[Plbb]9[Prbb][Plbb]3[Prbb][Prbb][Prbb],cos[Pspa]3分之9[Pspa]分之[Pspa]2的[var1]分之2乘以括號4加[var2]
0[Pplu][Pbeg]frac[Plbb]7[Prbb][Plbb][var1][Prbb],0加[var1]分之7
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[var1][Pmin]R,[var1]減去[var1]
[Pbeg]log[Psub][Plbb]7[Prbb][var1][Pbeg]frac[Plbb][var3][Prbb][Plbb][var2][Prbb],[var1]又[var2]分之[var3]以7為底的對數
[Plsb][Pbeg]cos[Plbb]3[Prbb][Prsb][Pmin][Plbb]8[Prbb][Pexp][Plbb][Pbeg]pi[Prbb],cos[Pspa]3[Pspa]減8的pi次方
[Pbeg]log[Psub][Plbb][var2][Prbb][var1],log[Pspa][var2][Pspa][var1]
[Pbeg]frac[Plbb]8[Prbb][Plbb][var1][Pmin][var2][Prbb],[var1]減[var2][Pspa]分之8
[Pbeg]log[Psub][Plbb]7[Prbb][var1],log[Pspa]7[Pspa]的[var1]
0[Pplu][Plsb][var1][Pbeg]frac[Plbb][Pbeg]log[Psub][Plbb][var4][Prbb][Plbb]9[Prbb][Pexp][Plbb][var2][Prbb][Prbb][Plbb][var3][Prbb][Prsb],0加[var1]乘以[var3]分之9的[var2]次方以[var4]為底的對數值
[Plsb]0[Pplu][var1][Prsb][Pplu][Pbeg]frac[Plbb][Pbeg]sin[Plbb]7[Prbb][Prbb][Plbb]9[Prbb],0加[var1]加[Pspa]9分之sin[Pspa]7
[Pbeg]cos[Plbb]9[Prbb],cos[Pspa]9
[Plbb][Pbeg]frac[Plbb]4[Prbb][Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb],[var2]分之4[Pspa]的[var1]次方
[Pbeg]frac[Plbb]2[Prbb][Plbb]6[Prbb],6分之2
3[Pplu][var1],3加[var1]
[Pbeg]frac[Plbb]9[Prbb][Plbb]8[Prbb],8分之9
[Plbb][var2][Prbb][Pexp][Plbb]3[Pmin][Pbeg]log[Psub][Plbb][Pbeg]pi[Prbb][var1][Prbb],[var2]的3減log[Pspa]pi[Pspa][var1][Pspa]次方
[Pbeg]log[Psub][Plbb][var1][Prbb][Plsb][Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Pplu][Plsb][Pbeg]sin[Plbb]3[Prbb][Prsb][Prsb],tan[Pspa][var2][Pspa]加[Pspa]sin[Pspa]3[Pspa]以[var1]為底的對數
[Pbeg]frac[Plbb]5[Prbb][Plbb][Plbb][Pbeg]log[Psub][Plbb]2[Prbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Prbb],[var1]的[var2]次方以3為底的對數分之5
[Plsb][var3][Pplu][var2][Prsb][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb],[var3]加[var2]整個乘以cos[Pspa][var1]
4[Pplu][Plsb][Plsb][Pbeg]cos[Plbb]7[Prbb][Prsb][Pplu]6[Prsb],4加括號cos[Pspa]7[Pspa]加[Pspa]6括號
[Plsb][Pbeg]sin[Plbb][var2][Prbb][Prsb][var1],sin[Pspa][var2][Pspa]乘上[var1]
7[Pplu][Pbeg]log[Psub][Plbb]1[Prbb][var1],7加log[Pspa]1[Pspa][var1]
[Pbeg]tan[Plbb]7[Prbb],tan[Pspa]7
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]frac[Plbb][Pbeg]pi[Prbb][Plbb][Pbeg]log[Psub][Plbb]0[Prbb][var1][Prbb],pi[Pspa]分之[Pspa][var1]以0為底的對數
[Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][var2],sin[Pspa][var1]乘以[var2]
[Pbeg]sin[Plbb][var1][Pplu][var2][Prbb],[var1]加[var2]的sin值
[var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb],[var1]加cos[Pspa][var2]
3[Pbeg]frac[Plbb]0[Prbb][Plbb][Plbb]6[Prbb][Pexp][Plbb]5[Prbb][Prbb],3又6的5次方分之0
[Pbeg]sin[Plbb]6[Prbb],sin[Pspa]6
[Plsb][var1][Pplu][Plsb][Pbeg]tan[Plbb]3[Prbb][Prsb][Prsb][Plsb]5[Pplu]9[Prsb],[var1]加[Pspa]tan[Pspa]3[Pspa]乘以[Pspa]5加9
[Plsb]cp[Prsb][Pmin][Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb],cp減[var1]分之0
[Pbeg]log[Psub][Plbb]2[Prbb]2,log[Pspa]2[Pspa]2
[Pbeg]sin[Plbb]7[Prbb],sin[Pspa]7
[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][Pbeg]pi[Pbeg]frac[Plbb]2[Prbb][Plbb][var1][Prbb][Prbb][Prbb],cos[Pspa]根號pi的[var1]分之2次方
6[Pmin][Plsb]41[Prsb],6減41
[Pbeg]tan[Plbb]8[Plsb]1[Pplu][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Prsb][Prbb],tan[Pspa]8乘上括號1加log[Pspa][var2][Pspa][var1]
[Pbeg]cos[Plbb]0[Prbb],cos[Pspa]0
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]frac[Plbb]4[Prbb][Plbb][var2][Pmin][Plsb][Pbeg]pi[Pplu][var1][Prsb][Prbb],[var2]減括號pi加[var1][Pspa]分之4
[Pbeg]log[Psub][Plbb]2[Prbb][var1],[var1]以2為底的對數
[Pbeg]sin[Plbb]7[Prbb],sin[Pspa]7
[Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb],[var1]分之5
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Pbeg]log[Psub][Plbb]0[Prbb][var1],[var1]以0為底的對數值
4[Pplu][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb],4加[Pspa]sin[Pspa][var1]
[Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb],[var2]分之[Pspa]sin[Pspa][var1]
[Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Plsb]9[Plsb][var1][Pmin][var3][Prsb][Prsb],tan[Pspa][var2][Pspa]乘以[Pspa]9[Pspa]乘括號[var1]減[var3]
0[Pplu][var1],0加[var1]
[var2][Plbb][Pbeg]sqrt[Plbb]5[Prbb][Prbb][Pexp][Plbb][var1][Prbb],[var2]根號5的[var1]次方
[Pbeg]sqrt[Plbb]5[Prbb],根號5
[Pbeg]frac[Plbb]5[Pplu][var2][Prbb][Plbb][var1][Prbb],[var1]分之5加[var2]
[Plbb]5[Prbb][Pexp][Plbb][var1][Prbb],5的[var1]次方
[Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb],[var1]分之[var2]
[Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb]3[Prbb][Prbb][var1],[var1]以cos[Pspa]3為底的對數
[var1][Pplu][Plsb]8[Pmin][var2][Prsb],[var1]加括號8減[var2]
[var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb],[var2]減cos[Pspa][var1]
[Pbeg]sin[Plbb]6[Prbb],sin[Pspa]6
[Pbeg]sin[Plbb][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]1[Prbb][Plbb]3[Prbb][Prbb][Prbb],sin[Pspa]根號3分之1
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb][var3],[var2]分之8的[var1]次方乘[var3]
7[Pplu][Plsb][Pbeg]tan[Plbb]6[Prbb][Prsb],7加tan[Pspa]6
[Pbeg]tan[Plbb]7[Prbb],tan[Pspa]7
4[Pplu][var1],4加[var1]
yx,yx
7[Pmin][var1],7減[var1]
[Pbeg]sin[Plbb][Plsb][Pbeg]sin[Plbb]1[var2][Prbb][Prsb][var1][Prbb],sin的sin[Pspa]1[var2][Pspa]乘[var1]
[Pbeg]sqrt[Plbb][var1][Prbb],根號[var1]
[Plsb][Pbeg]frac[Plbb][var3][Prbb][Plbb][var1][Prbb][Pmin][var2][Prsb][Plsb]3[Pmin][Pbeg]pi[Prsb],括號[var1]分之[var3]減[var2]括號乘上3減pi
[Pbeg]log[Psub][Plbb][Pbeg]sqrt[Plbb]2[Prbb][Prbb][Plsb]0[Pplu][var1][Prsb],0加[var1]以根號2為底的對數
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Plbb]6[Prbb][Pexp][Plbb][Pbeg]frac[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Plbb][Pbeg]pi[Prbb][Prbb],6的pi分之[var2]分之[var1]次方
[Pbeg]frac[Plbb]4[Prbb][Plbb][Plbb][var2][Prbb][Pexp][Plbb]0[Pmin][var1][Prbb][Prbb],[var2]的0減[var1][Pspa]分之4
1[Pmin][var1],1減[var1]
[Pbeg]frac[Plbb][var1][Prbb][Plbb][Pbeg]frac[Plbb]1[Prbb][Plbb]7[Plsb][Pbeg]tan[Plbb][var1][Prbb][Prsb][Prbb][Prbb],7乘tan[Pspa][var1][Pspa]分之1[Pspa]分之[var1]
[Pbeg]frac[Plbb]9[Pplu][var1][Prbb][Plbb]tk[Prbb],tk分之9加[var1]
[Pbeg]cos[Plbb][Plsb]9[Pbeg]frac[Plbb]1[Prbb][Plbb][var1][Prbb][Prsb][Pplu][Plsb][Pbeg]sqrt[Plbb][var2][Prbb][Prsb][Prbb],9又[var1]分之1加根號2[Pspa]的cos值
[Pbeg]log[Psub][Plbb]4[Prbb][Pbeg]frac[Plbb][Plbb]9[Prbb][Pexp][Plbb]6[Prbb][Prbb][Plbb][var1][Prbb],[var1]分之9的6次方[Pspa]以4為底的對數
[Pbeg]log[Psub][Plbb]9[Prbb]8,log[Pspa]9[Pspa]8
[Pbeg]log[Psub][Plbb]5[Prbb][var2][Pplu][var1],[var2]以5為底的對數加[var1]
[Pbeg]frac[Plbb]3[Prbb][Plbb][var1][Prbb],[var1]分之3
[Plsb][Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][Pbeg]sin[Plbb]5[Prbb][Prbb][Prbb][Prsb][Plsb]8[Pplu][Plsb][var1][Pplu][var2][Prsb][Prsb],cos[Pspa]根號sin[Pspa]5[Pspa]乘8加括號[var1]加[var2]
[Pbeg]frac[Plbb][Pbeg]log[Psub][Plbb]5[Prbb][var1][Prbb][Plbb][Pbeg]log[Psub][Plbb]2[Prbb][Pbeg]frac[Plbb][var3][Prbb][Plbb][var2][Prbb][Prbb],[var2]分之[var3]以2為底的對數分之[var1]以5為底的對數
6[Pmin]4,6減4
[Pbeg]sqrt[Plbb]4[Prbb],根號4
8[Pbeg]log[Psub][Plbb]0[Prbb]5,8log[Pspa]0[Pspa]5
[Pbeg]frac[Plbb][var1][Prbb][Plbb]zy[Prbb],zy分之[var1]
[Pbeg]cos[Plbb][Pbeg]frac[Plbb]2[Prbb][Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Prbb],cos[Pspa]sin[Pspa][var1][Pspa]分之2
[var1][Pplu]k,[var1]加[var1]
1[Pmin][Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]4[Prbb][Plbb]2[Prbb][Prbb][var1],1減[var1]以2分之4為底的對數
[Pbeg]log[Psub][Plbb]4[Prbb][var1],log[Pspa]4[Pspa][var1]
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]frac[Plbb]mm[Prbb][Plbb][var1][Prbb],[var1]分之mm
[Pbeg]cos[Plbb][Pbeg]tan[Plbb]6[Prbb][Prbb],cos[Pspa]tan[Pspa]6
[var2][Pmin][Pbeg]frac[Plbb]6[Prbb][Plbb][var1][Prbb],[var2]減[var1]分之6
8[Plsb]2[Pplu]3[Prsb],8乘以括號2加3
[Plsb][Pbeg]pi[Pmin][Plsb]9[Pmin][Plsb][Pbeg]sin[Plbb]1[Prbb][Prsb][Prsb][Prsb][Pplu][Plsb][Pbeg]sqrt[Plbb][var1][Prbb][Prsb],pi減括號9減sin[Pspa]1[Pspa]加根號[var1]
[Pbeg]sin[Plbb][var1][Prbb],sin[Pspa][var1]
[Pbeg]frac[Plbb]7[var2][Prbb][Plbb]2[Pmin][var1][Prbb],2減[var1]分之7[var2]
[Pbeg]frac[Plbb][Pbeg]frac[Plbb]9[Prbb][Plbb]9[Prbb][Prbb][Plbb][var2][Pmin][Plsb]6[Pplu][var1][Prsb][Prbb],[var2]減括號6加[var1]分之[Pspa]9分之9
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb][Pexp][Plbb]n[Prbb],cos[Pspa][var1]的[var1]次方
[Pbeg]sin[Plbb][Pbeg]log[Psub][Plbb][var1][Prbb][var2][Prbb],log[Pspa][var1][Pspa][var2][Pspa]的sin值
[Plsb][Plsb][Pbeg]cos[Plbb]9[Prbb][Prsb]6[Prsb][var1],cos[Pspa]9[Pspa]乘6乘[var1]
5[Pmin][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]sin[Plbb][Plbb][var2][Prbb][Pexp][Plbb][var1][Prbb][Prbb][Prbb],5減sin[Pspa]W的[var1]次方[Pspa]分之[var2]
[Plsb][Pbeg]log[Psub][Plbb][var3][Prbb][var4][Pmin][var2][Prsb][var1],[var4]以[var3]為底的對數減[var2]整個乘[var1]
[var2][Pmin][var1],[var2]減[var1]
[Plbb][var2][Prbb][Pexp][Plbb][Pbeg]sin[Plbb][Plbb][var1][Prbb][Pexp][Plbb][Pbeg]pi[Prbb][Prbb][Prbb],[var2]的sin[Pspa][var1]的pi次方[Pspa]次方
[Plbb][Pbeg]frac[Plbb][Pbeg]sqrt[Plbb]0[Pplu]2[Prbb][Prbb][Plbb]7[Prbb][Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb],7分之根號0加2[Pspa]的根號[var1]次方
[Pbeg]frac[Plbb]6[Prbb][Plbb][var1][Prbb],[var1]分之6
[Pbeg]frac[Plbb][Pbeg]cos[Plbb]3[Prbb][Prbb][Plbb]9[Prbb],9分之cos[Pspa]3
[Pbeg]frac[Plbb][Plsb]cc[Prsb][var4][Prbb][Plbb][var1][Prbb][Plbb][var3][Prbb][Pexp][Plbb][var2][Prbb],[var1]分之括號cc乘[var4][Pspa]乘以[var3]的[var2]次方
[Plbb]6[Prbb][Pexp][Plbb]4[Prbb],6的4次方
[Plsb][Pbeg]cos[Plbb]3[Prbb][Prsb][Plbb]4[Prbb][Pexp][Plbb][var1][Prbb],cos[Pspa]4[Pspa]乘以[Pspa]4的[var1]次方
[Pbeg]sin[Plbb]8[Prbb],sin[Pspa]8
[Plbb]1[Prbb][Pexp][Plbb][var2][Pmin][var1][Prbb],1的[var2]減[var1]次方
[Plbb][Plbb]3[Prbb][Pexp][Plbb]7[Prbb][Prbb][Pexp][Plbb][var1][Prbb],3的7[var1]次方
[Plbb]8[Prbb][Pexp][Plbb][var1][Prbb],8的[var1]次方
[Plsb]5[Pmin][Plsb]8[Pplu][var2][Prsb][Prsb][Pplu][var1],5減括號8加[var2]整個加[var1]
[Pbeg]cos[Plbb]9[Pplu][var1][Prbb],cos[Pspa]9[Pspa]加[Pspa][var1]
[Plbb]7[Prbb][Pexp][Plbb]3[var1][Prbb],7的3[var1]次方
[Pbeg]sin[Plbb]4[Plsb]1[Pplu]7[Prsb][Prbb],sin[Pspa]4[Pspa]乘括號1加7
[Pbeg]log[Psub][Plbb]2[Prbb][Plbb][var1][Prbb][Pexp][Plbb][Plsb]kz[Prsb][Pplu][var2][Prbb],[var1]的kz次方加[var2][Pspa]以2為底的對數
[var1][Plsb]93[Prsb],[var1]乘93
[Pbeg]frac[Plbb][Pbeg]sin[Plbb]0[Prbb][Prbb][Plbb][var1][Prbb],[var1]分之sin[Pspa]0
[var1][Pmin][Plsb][Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]7[Prbb]5[Prbb][Prsb],[var1][Pspa]減[Pspa]cos[Pspa]5以7為底的對數
2[Pbeg]log[Psub][Plbb]4[Prbb][Plsb][Pbeg]sqrt[Plbb][var1][Prbb][Prsb],2乘根號[var1]以4為底的對數
[Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]3[Prbb][Plbb]0[Prbb][Prbb][var1],[var1]以0分之3為底的對數
[Plsb]1[Pplu]0[Prsb][Plsb][Pbeg]tan[Plbb]3[var1][Prbb][Prsb],1加0[Pspa]整個乘[Pspa]tan[Pspa]3[var1]
0[Plbb][Pbeg]frac[Plbb]2[Prbb][Plbb]8[Prbb][Prbb][Pexp][Plbb][Plsb][Pbeg]cos[Plbb]3[Prbb][Prsb][var1][Prbb],0乘8分之2[Pspa]的cos[Pspa]3[Pspa]乘[var1][Pspa]次方
[var2][Pplu][Plbb]4[Pplu][var1][Prbb][Pexp][Plbb]n[Prbb],[var2]加4加[var1]的[var1]次方
