target,retrieved
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Plbb]1[Prbb][Pexp][Plbb]7[Prbb][Pplu][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb],1的7次方加9的[var1]次方
[Pbeg]log[Psub][Plbb]4[Pplu][Plsb]2[var2][Prsb][Prbb][Plsb][var1][Pplu][var3][Prsb],[var1]加[var3]整個以4加2[var2]為底的對數
3[Pmin][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb],3減[var2]分之[var1]
[Plbb][Plbb]5[Prbb][Pexp][Plbb]1[Prbb][Prbb][Pexp][Plbb][var1][Prbb],5的1次方的[var1]次方
[Pbeg]log[Psub][Plbb]3[Prbb]0,log[Pspa]3[Pspa]0
3[var1],3[var1]
[Plbb]0[Prbb][Pexp][Plbb]2[Pplu][Pbeg]log[Psub][Plbb]7[Prbb][Pbeg]log[Psub][Plbb][var1][Prbb][Pbeg]log[Psub][Plbb]1[Prbb][var2][Prbb],0的平方加log[Pspa]7[Pspa]log[Pspa][var1][Pspa]log[Pspa]1[Pspa]的[var2]
[Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb],根號[var1]分之5
7[Pmin][var1],7減[var1]
[var2][Pmin][Pbeg]log[Psub][Plbb]0[Prbb][Plbb]1[Prbb][Pexp][Plbb][var1][Prbb],[var2]減[Pspa]1的[var1]次方[Pspa]以0為底的對數
8[Pmin]1,8減[Pspa]1
[Plsb]6[var1][Prsb][Plsb]pw[Prsb],6[var1]乘pw
[Plbb][Pbeg]log[Psub][Plbb][var4][Prbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Pexp][Plbb][var3][Prbb],[var2]分之[var1]以[var4]為底的對數整個[var3]次方
3[Plsb][var2][Pplu][var1][Prsb],3乘上括號[var2]加[var1]
[Pbeg]cos[Plbb]7[Prbb],cos[Pspa]7
9[Pmin][Plsb]3[Pmin][Pbeg]log[Psub][Plbb]4[Prbb][var1][Prsb],9減括號3減[var1]以4為底的對數
7[Pmin][Plsb][var1][Pmin][var2][Prsb],7減括號[var1]減[var2]
[Plbb]1[Prbb][Pexp][Plbb][var1][Prbb],1的[var1]次方
[Pbeg]frac[Plbb]6[Prbb][Plbb]9[Prbb],6分之9
[Pbeg]log[Psub][Plbb]0[Prbb][var1],[var1]以0為底的對數
[Pbeg]frac[Plbb]8[Prbb][Plbb][Plsb][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]6[Prbb][Plbb][var1][Prbb][Prbb][Prsb][Pplu]5[Prbb],根號[var1]分之6加5[Pspa]分之8
[Pbeg]sin[Plbb][var1][Prbb],sin[Pspa][var1]
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]cos[Plbb]4[Prbb],cos[Pspa]4
[Plsb]1[Pmin][var2][Prsb][var1],1減[var2]整個乘上[var1]
[Plbb]6[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]6[Prbb][var1][Prbb],6的log[Pspa]6[Pspa][var1][Pspa]次方
9[var1],9[var1]
[Plbb][var1][Prbb][Pexp][Plbb][Plbb]2[Prbb][Pexp][Plbb]4[Prbb][Prbb],[var1]的2的4次方
[Pbeg]sqrt[Plbb][var1][Prbb],根號[var1]
[Plbb]5[Prbb][Pexp][Plbb][var1][Prbb],5的[var1]次方
[Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb],[var1]分之0
[Pbeg]frac[Plbb][Plbb][var3][Prbb][Pexp][Plbb][var2][Prbb][Prbb][Plbb][var1][Pplu][Plsb][Pbeg]cos[Plbb]5[Prbb][Prsb][Prbb],[var1]加cos[Pspa]5[Pspa]分之[var3]的[var2]次方
0[Pmin]9,0減9
[Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb]8[Prbb],cos[Pspa]8以根號[var1]為底的對數
[Plsb][Plsb][Pbeg]sqrt[Plbb]8[Prbb][Prsb][Pplu][Plsb]0[Pmin][var2][Prsb][Prsb][Pplu][var1],根號8加括號0減[var2]加[var1]
[Pbeg]frac[Plbb][Pbeg]frac[Plbb]9[Prbb][Plbb]4[Pplu]8[Prbb][Prbb][Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb],[var1]分之5[Pspa]分之[Pspa]4加8[Pspa]分之9
[var1][Pplu][var2],[var1]加[var2]
4[Pplu][Plbb]1[Prbb][Pexp][Plbb]2[Prbb],4加1的平方
[Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb]6,6以cos[Pspa][var1]為底的對數
9[Pplu][Pbeg]frac[Plbb][Pbeg]sqrt[Plbb]2[Prbb][Prbb][Plbb][var1][Prbb],9加[var1]分之根號2
[Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb],[var2]分之[var1]
[Pbeg]sqrt[Plbb][var1][Prbb],根號[var1]
[Pbeg]sin[Plbb]4[Prbb],sin[Pspa]4
[Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]2[Pplu][var2][Prbb][var1][Prbb],[var1]以2加[var2]為底的對數的cos值
[Pbeg]frac[Plbb][var1][Prbb][Plbb][Plsb][Pbeg]tan[Plbb]5[Prbb][Prsb]4[Prbb],tan[Pspa]5[Pspa]乘4[Pspa]分之[var1]
[Pbeg]frac[Plbb][var1][Prbb][Plbb]8[Pplu]8[Prbb],8加8[Pspa]分之[Pspa][var1]
[Pbeg]cos[Plbb]2[Prbb],cos[Pspa]2
[Plbb]8[Prbb][Pexp][Plbb][Pbeg]frac[Plbb]0[Prbb][Plbb]5[Prbb][Prbb],8的5分之0次方
[Plbb]4[Prbb][Pexp][Plbb][var1][Prbb],4的[var1]次方
[Pbeg]cos[Plbb][Pbeg]frac[Plbb]2[Prbb][Plbb]8[Pmin][var1][Prbb][Prbb],cos[Pspa]8減[var1][Pspa]分之2
[Pbeg]tan[Plbb]1[Prbb],tan[Pspa]1
[var1][Pplu][var2],[var1]加[var2]
[Pbeg]log[Psub][Plbb]0[Prbb][var1],[var1]以0為底的對數
[Plbb]1[Prbb][Pexp][Plbb][var2][Prbb][Pmin][var1],1的[var2]次方減[var1]
6[Pmin][Plsb]st[Prsb],6減括號st
[Plbb][Pbeg]cos[Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb],cos[Pspa][var2]的[var1]次方
[Plbb]3[Prbb][Pexp][Plbb][Plbb]6[Prbb][Pexp][Plbb]0[Prbb][Prbb],3的6次方的0次方
[Pbeg]tan[Plbb][Pbeg]tan[Plbb]1[Prbb][Prbb],tan[Pspa]tan[Pspa]1
[Pbeg]sqrt[Plbb]9[Prbb],根號9
[Pbeg]tan[Plbb][var1][Prbb],tan[Pspa][var1]
[Pbeg]frac[Plbb]1[Prbb][Plbb][Plbb][var2][Prbb][Pexp][Plbb][var1][Prbb][Prbb],[var2]的[var1]次方[Pspa]分之[Pspa]1
[Pbeg]log[Psub][Plbb][Pbeg]sqrt[Plbb]4[Prbb][Prbb][Plsb][var1][Pplu][Pbeg]pi[Prsb],[var1]加pi以根號4為底的對數
[Pbeg]log[Psub][Plbb][var1][Prbb][Plsb][Pbeg]cos[Plbb]4[Prbb][Prsb][Pplu][Pbeg]pi,cos[Pspa]4[Pspa]以[var1]為底的對數加pi
[Pbeg]log[Psub][Plbb]1[Prbb][Pbeg]log[Psub][Plbb]2[Prbb][Pbeg]log[Psub][Plbb]1[Prbb][var1],[var1]以1為底的對數以2為底再以1為底
[Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb],[var1]分之0
[Pbeg]sqrt[Plbb][Pbeg]frac[Plbb][Pbeg]tan[Plbb][Pbeg]pi[Prbb][Prbb][Plbb]02[Prbb][Prbb],根號02分之tan[Pspa]pi
2[Pmin][Plsb][Pbeg]log[Psub][Plbb][var1][Prbb]rR[Prsb],2減rR以[var1]為底的對數
[Pbeg]frac[Plbb]5[Prbb][Plbb]7[Prbb],7分之5
[Plbb]1[Prbb][Pexp][Plbb][Pbeg]frac[Plbb]4[Prbb][Plbb][var1][Prbb][Prbb],1的[var1]分之4
[Pbeg]cos[Plbb][Pbeg]pi[Prbb],cos[Pspa]pi
[Pbeg]frac[Plbb]6[Prbb][Plbb][Pbeg]frac[Plbb]7[Prbb][Plbb][Pbeg]frac[Plbb]4[Prbb][Plbb]3[Pplu][Pbeg]pi[Prbb][Prbb][Prbb],3加pi分之4分之7分之6
[Plsb]0[Pplu][var2][Prsb][Pmin][var1],括號0加[var2]整個減[var1]
[Pbeg]frac[Plbb]5[Prbb][Plbb]7[Plsb]6[Pplu][var1][Prsb][Prbb],7乘以括號6加[var1][Pspa]分之5
8[Pplu][Plsb]7[var1][Prsb],8加7[var1]
1[Pmin][var1],1減[var1]
[Plbb][var2][Prbb][Pexp][Plbb][var1][Prbb],[var2]分之[var1]
3[Pplu][var1],3加[var1]
0[var1],0[var1]
[Pbeg]frac[Plbb]5[Prbb][Plbb]4[Prbb],4分之5
[var1][Plsb]4[var2][Prsb],[var1]乘以4[var2]
[Pbeg]frac[Plbb]2[var1][Prbb][Plbb]9[Pmin][var2][Prbb],9減[var2]分之2[var1]
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]sqrt[Plbb][Pbeg]cos[Plbb]2[Prbb][Prbb],根號cos[Pspa]2
[Plbb][Plbb]8[Prbb][Pexp][Plbb][var2][Prbb][Pmin][Pbeg]pi[Prbb][Pexp][Plbb][Plbb]7[var1][Prbb][Pexp][Plbb][Pbeg]frac[Plbb]0[Prbb][Plbb][var3][Prbb][Prbb][Prbb],8的[var2]次方減pi的7[var1]的[var3]分之0次方
[Pbeg]frac[Plbb]0[Pplu][Plsb]0[Pmin]1[Prsb][Prbb][Plbb][var1][Prbb],[var1]分之0加括號0減1
[Pbeg]sqrt[Plbb]3[Prbb],根號3
7[Pplu][var1],7加[var1]
[Plsb][Plsb]78[Prsb][Pplu][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prsb][var2],78加[var1]分之5整個乘以[var2]
[Pbeg]log[Psub][Plbb]0[Prbb]1,log[Pspa]0[Pspa]1
[Plbb]6[Prbb][Pexp][Plbb][var1][Prbb][Pmin][var2],6的[var1]次方減[var2]
8[Pplu][Plsb][Plsb][Pbeg]tan[Plbb][var1][Pmin][var3][Prbb][Prsb][var2][Prsb],8加括號括號tan[Pspa][var1]減[var3]括號乘[var2]
[Plsb][Pbeg]cos[Plbb][Pbeg]pi[Prbb][Prsb]7,cos[Pspa]pi[Pspa]乘上7
[var2][Pplu][Plsb][var3][Pplu][var1][Prsb],[var2]加括號[var3]加[var1]
[Plbb][Pbeg]log[Psub][Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][Prbb][Pexp][Plbb]4[var3][Prbb],sin[Pspa][var1][Pspa]的4[var3]次方以sin[Pspa][var2][Pspa]為底的對數
[Pbeg]sin[Plbb][var1][Prbb],sin[Pspa][var1]
[Plbb]1[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb][Pbeg]pi[Prbb][var1][Prbb],1的[var1]以pi為底的對數的次方
5[Pplu][Plsb][Pbeg]log[Psub][Plbb][var2][Prbb][var4][Pmin][Plbb][var1][Prbb][Pexp][Plbb][var3][Prbb][Prsb],5加括號log[Pspa][var2][Pspa][var4]減[var1]的[var3]次方
[Plbb]1[Prbb][Pexp][Plbb]08[Prbb],1的08次方
[Pbeg]frac[Plbb]7[Prbb][Plbb][Plbb]5[Prbb][Pexp][Plbb]kx[Prbb][Prbb],5的kx次方[Pspa]分之7
[Plsb][var1][Pplu][Pbeg]frac[Plbb]3[Prbb][Plbb][Pbeg]log[Psub][Plbb]6[Prbb][Pbeg]log[Psub][Plbb]0[Prbb][var3][Prbb][Prsb][Pbeg]frac[Plbb]5[Prbb][Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb],[var1]加[var3]以0為底再以6為底的對數分之3整個乘上sin[Pspa][var2]分之5
[Pbeg]tan[Plbb][Plsb]wn[Prsb][Pplu][Plsb][Pbeg]sqrt[Plbb]6[Prbb][Prsb][Prbb],tan[Pspa]wn[Pspa]加根號6
[Pbeg]log[Psub][Plbb]9[Prbb][var2][Pplu][Plsb]3[Pplu][var1][Prsb],log[Pspa]9[Pspa][var2][Pspa]加括號3加[var1]
[Pbeg]cos[Plbb]0[Pplu][Plsb]0[Pbeg]frac[Plbb]1[Prbb][Plbb]0[Prbb][Prsb][Prbb],cos[Pspa]0加上[Pspa]0又0分之1
0[var1],0[var1]
ac,ac
[Plsb][var1][Pplu][var2][Prsb][Pmin][Plsb]7[var3][Prsb],括號[var1]加[var2]整個減7[var3]
[Pbeg]log[Psub][Plbb]9[Prbb]0,log[Pspa]9[Pspa]0
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]tan[Plbb]5[Prbb],tan[Pspa]5
[Pbeg]log[Psub][Plbb][var4][Pmin][var1][Prbb][Plbb][var2][Prbb][Pexp][Plbb][var3][Prbb],[var2]的[var3]次方以[var4]減[var1]為底的對數
[Plsb][var1][Pmin][var3][Prsb][Plsb]3[Pplu][var2][Prsb],括號[var1]減[var3]整個乘3加[var2]
[Pbeg]sin[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb],sin[Pspa]根號[var1]
1[Pplu]5,1加5
[Pbeg]log[Psub][Plbb][var1][Prbb][Pbeg]pi,pi以[var1]為底的對數
[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var3][Pplu][Plsb][Pbeg]sqrt[Plbb][var2][Prbb][Prsb][Prbb][Prbb],tan[Pspa][var1][Pspa]分之5的[Pspa]tan[Pspa][var3]加根號[var2][Pspa]次方
[Pbeg]log[Psub][Plbb]0[Prbb][var1],[var1]以0為底之對數值
6[Pplu][Plsb]7[Pmin][var1][Prsb],6加括號7減[var1]
[Pbeg]sqrt[Plbb]3[Prbb],根號3
[Pbeg]frac[Plbb][var1][Prbb][Plbb]6[var2][Prbb],6[var2]分之[var1]
[Pbeg]log[Psub][Plbb]7[Prbb][Plbb]2[Prbb][Pexp][Plbb][var1][Prbb],2的[var1]次方以7為底之對數
[var1][Plbb]1[Prbb][Pexp][Plbb][var2][Prbb],[var1]乘上1的[var2]次方
[Pbeg]tan[Plbb]7[Prbb],tan[Pspa]7
[Pbeg]sin[Plbb][Pbeg]log[Psub][Plbb]3[var2][Prbb][var1][Prbb],[var1]以3[var2]為底之對數的sin值
[Plbb]3[Prbb][Pexp][Plbb][var1][Prbb][Plsb]3[Pmin][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Plsb][Pbeg]tan[Plbb]4[Prbb][Prsb][Pmin]3[Prsb][Prsb],3的[var1]次方[Pspa]乘以[Pspa]3減[Pspa]tan4減3[Pspa]以8為底之對數
[Plbb]8[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb]1[Prbb][Pbeg]frac[Plbb]1[Prbb][Plbb]1[Prbb][Prbb],8的1分之1[Pspa]以1為底的對數的次方
[Plsb]78[Prsb][var1],78乘[var1]
[Plsb]6[Pplu][var2][Prsb][Pplu][Plbb][var1][Prbb][Pexp][Plbb][var3][Prbb],6加[var2]整個加[var1]的[var3]次方
[Plsb]5[Plsb]3[Pplu][var2][Prsb][Prsb][Pplu][Plsb]0[Pmin][var1][Prsb],5括號3加[var2][Pspa]加括號0減[var1]
[Pbeg]tan[Plbb]4[Prbb],tan[Pspa]4
[var1][Plbb]8[Prbb][Pexp][Plbb]2[Prbb],[var1]乘8的平方
[Pbeg]cos[Plbb][Pbeg]frac[Plbb]7[Prbb][Plbb][var1][Pmin][var2][Prbb][Prbb],[var1]減[var2][Pspa]分之7[Pspa]的cos值
[Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb],[var2]分之[var1]
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
[Pbeg]log[Psub][Plbb]6[Prbb]7,log[Pspa]6[Pspa]7
1[var1],1[var1]
[var1][Plsb][Plsb][Pbeg]sqrt[Plbb]7[Prbb][Prsb][Pmin][var2][Prsb],[var1]乘以括號根號7減[var2]
sw,[var2][var1]
[Pbeg]frac[Plbb]2[Pplu][var1][Prbb][Plbb][Pbeg]cos[Plbb][Plbb][Pbeg]tan[Plbb]6[Prbb][Prbb][Pexp][Plbb][var2][Prbb][Prbb][Prbb],cos[Pspa]tan[Pspa]6的[var2]次方分之2加[var1]
[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][Plbb][Pbeg]cos[Plbb]1[Prbb][Prbb][Pexp][Plbb][var1][Pplu][var2][Prbb][Prbb][Prbb],cos根號cos[Pspa]1的[var1]加[var2]次方
[Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb],[var1]分之[var2]
[var2][Pplu][var1],[var2]加[var1]
[Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb],[var1]分之5
[Plbb]8[Prbb][Pexp][Plbb]6[Pplu][var1][Prbb],8的6加[var1]次方
8[Pplu][Plsb]8[var1][Prsb],8加括號8[var1]
5[Plsb]9[Pplu][var1][Prsb],5乘括號9加[var1]
2[Pmin][Plsb]8[Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][Prsb],2減括號8乘sin[Pspa][var1]
[Plbb]5[Prbb][Pexp][Plbb][var1][Prbb][Pplu][Plsb]68[Prsb],5加[var1]分之68
[Plsb]0[var3][Prsb][Pmin][Plsb][var1][Pmin][var2][Prsb],0[var3]減括號[var1]減[var2]
[Plbb][var2][Pmin][var3][Prbb][Pexp][Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb],[var2]減[var3]的cos[Pspa][var1][Pspa]次方
[Plbb]4[Prbb][Pexp][Plbb][Plbb][var1][Pplu][Plsb]7[Pmin]4[Prsb][Prbb][Pexp][Plbb][Pbeg]frac[Plbb]3[Prbb][Plbb][var2][Prbb][Prbb][Prbb],4的[var1]加括號7減4的[var2]分之3次方
9[Plsb]39[Prsb],9括號39
[Pbeg]frac[Plbb]4[Plsb]1[Pmin][var1][Prsb][Prbb][Plbb][Plbb]6[Prbb][Pexp][Plbb][var2][Prbb][Prbb],6的[var2]次方分之4乘括號1減[var1]
[Pbeg]sqrt[Plbb][Pbeg]log[Psub][Plbb]3[Prbb][var1][Prbb],根號log[Pspa]3[Pspa][var1]
[Pbeg]frac[Plbb]5[Prbb][Plbb]2[Prbb][Plbb][Plbb]2[Prbb][Pexp][Plbb][var1][Prbb][Pplu][var2][Prbb][Pexp][Plbb]8[Pplu]8[Prbb],2分之5乘2的[var1]次方加[var2]的8加8次方
9[Pmin]7,9減7
[Pbeg]log[Psub][Plbb][Pbeg]log[Psub][Plbb]4[Prbb][var2][Prbb][var1],[var1]以log[Pspa]4[Pspa][var2]為底之對數
6[Plsb][Plsb][Pbeg]sin[Plbb]6[Prbb][Prsb][Pmin][var1][Prsb],6乘括號sin[Pspa]6[Pspa]減[var1]
[Plbb]4[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]6[Prbb][Plbb][var2][Prbb][Prbb][var1][Prbb],4的log[Pspa][var2]分之6[Pspa][var1][Pspa]次方
[Pbeg]cos[Plbb][Plbb][Pbeg]tan[Plbb]6[Prbb][Prbb][Pexp][Plbb][var1][Prbb][Prbb],cos[Pspa]乘tan[Pspa]6[Pspa]的[var1]次方
8[Pplu][Plsb][var2][Pplu][var1][Prsb],8加括號[var2]加[var1]
[var1][Pplu][Plsb]8[var2][Prsb],[var1]加括號8[var2]
[Pbeg]log[Psub][Plbb][var1][Prbb][Pbeg]frac[Plbb]3[Prbb][Plbb][var2][Prbb],[var2]分之3[Pspa]以[var1]為底的對數
[Pbeg]frac[Plbb]8[Prbb][Plbb]6[Prbb],6分之8
[Pbeg]frac[Plbb]1[Prbb][Plbb]3[Prbb],3分之1
[Pbeg]cos[Plbb][var1][Prbb],cos[Pspa][var1]
4[Pplu][Plsb][var1][Pplu][var2][Prsb],4加括號[var1]加[var2]
[Pbeg]log[Psub][Plbb]9[Prbb][Pbeg]pi,pi以9為底的對數
7[Pplu][Plsb][Pbeg]sqrt[Plbb][var1][Prbb][Prsb],7加括號根號[var1]
[Pbeg]log[Psub][Plbb]8[Prbb][var1],log[Pspa]8[Pspa][var1]
[Pbeg]log[Psub][Plbb][var1][Prbb][var2],log[Pspa][var1][Pspa][var2]
[Pbeg]sqrt[Plbb]40[Prbb],根號40
[Plbb]3[Prbb][Pexp][Plbb][var1][Prbb],3的[var1]次方
7[var1],7[var1]
[Pbeg]log[Psub][Plbb][var2][Prbb][var1],[var1]以[var2]爲底的對數
[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb],cos[Pspa]根號[var1]
[Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb],分之[var1]
[Pbeg]log[Psub][Plbb]6[Prbb][var1],[var1]以6爲底的對數
1[Pplu][var1],1加[var1]
[Pbeg]cos[Plbb][Pbeg]frac[Plbb]8[Prbb][Plbb]1[Prbb][Prbb],cos[Pspa]1分之8
[Plsb]2[Pplu][var2][Prsb][Pmin][var1],括號2減[var1]
[Pbeg]log[Psub][Plbb][var1][Prbb][var2],[var2]以[var1]爲底的對數
[var2][Plbb]2[Prbb][Pexp][Plbb][var1][Prbb],[var2]乘以2的[var1]次方
[Plsb][Pbeg]sqrt[Plbb]7[Prbb][Prsb][Pplu]0,括號70
[Plbb][Pbeg]pi[Prbb][Pexp][Plbb][var1][Prbb],pi的[var1]次方
[Pbeg]sin[Plbb][var1][Prbb],sin[Pspa][var1]
6[Plsb][var2][Pplu][var1][Prsb],6乘以括號[var2]加[var1]
